Jogador,Liga,Clube,Nação,Pos.,Idade,MP,Inícios,Min.,90s,Gols,Assis.,G-PB,PB,PT,CrtsA,CrtV,G_90,A_90,G+A_90
Ederson,Premier League,Manchester City,BRA,GK,27,37,37,3330,37.0,0,0,0,0,0,3,0,0.0,0.0,0.0
João Cancelo,Premier League,Manchester City,POR,DEF,27,36,36,3227,35.9,1,7,1,0,0,7,0,0.03,0.19,0.22
Rodri,Premier League,Manchester City,ESP,MEI,25,33,33,2884,32.0,7,2,7,0,0,5,0,0.22,0.06,0.28
Bernardo Silva,Premier League,Manchester City,POR,MEI,26,35,33,2857,31.7,8,4,8,0,0,6,0,0.25,0.13,0.38
Aymeric Laporte,Premier League,Manchester City,ESP,DEF,27,33,33,2828,31.4,4,0,4,0,0,5,1,0.13,0.0,0.13
Rúben Dias,Premier League,Manchester City,POR,DEF,24,29,27,2402,26.7,2,4,2,0,0,5,0,0.07,0.15,0.22
Kevin De Bruyne,Premier League,Manchester City,BEL,MEI,30,30,25,2201,24.5,15,8,15,0,0,2,0,0.61,0.33,0.94
Phil Foden,Premier League,Manchester City,ENG,ATA,21,28,24,2128,23.6,9,5,9,0,0,1,0,0.38,0.21,0.59
Raheem Sterling,Premier League,Manchester City,ENG,ATA,26,30,23,2128,23.6,13,5,11,2,3,1,0,0.55,0.21,0.76
Jack Grealish,Premier League,Manchester City,ENG,ATA,25,26,22,1914,21.3,3,3,3,0,0,3,0,0.14,0.14,0.28
Gabriel Jesus,Premier League,Manchester City,BRA,ATA,24,28,21,1877,20.9,8,8,7,1,1,1,0,0.38,0.38,0.77
İlkay Gündoğan,Premier League,Manchester City,GER,MEI,30,27,20,1857,20.6,8,4,8,0,0,1,0,0.39,0.19,0.58
Kyle Walker,Premier League,Manchester City,ENG,DEF,31,20,20,1755,19.5,0,2,0,0,0,1,0,0.0,0.1,0.1
Riyad Mahrez,Premier League,Manchester City,ALG,ATA,30,28,15,1498,16.6,11,5,7,4,5,0,0,0.66,0.3,0.96
John Stones,Premier League,Manchester City,ENG,DEF,27,14,12,1119,12.4,1,0,1,0,0,0,0,0.08,0.0,0.08
Oleksandr Zinchenko,Premier League,Manchester City,UKR,DEF,24,15,10,1047,11.6,0,4,0,0,0,0,0,0.0,0.34,0.34
Fernandinho,Premier League,Manchester City,BRA,MEI,36,19,10,964,10.7,2,1,2,0,0,1,0,0.19,0.09,0.28
Nathan Aké,Premier League,Manchester City,NED,DEF,26,14,10,923,10.3,2,0,2,0,0,0,0,0.19,0.0,0.19
Ferrán Torres,Premier League,Manchester City,ESP,ATA,21,4,4,303,3.4,2,1,2,0,0,0,0,0.59,0.29,0.88
Cole Palmer,Premier League,Manchester City,ENG,ATA,19,4,1,123,1.4,0,0,0,0,0,0,0,0.0,0.0,0.0
Zack Steffen,Premier League,Manchester City,USA,GK,26,1,1,90,1.0,0,0,0,0,0,0,0,0.0,0.0,0.0
Benjamin Mendy,Premier League,Manchester City,FRA,DEF,27,1,1,78,0.9,0,0,0,0,0,0,0,0.0,0.0,0.0
James Mcatee,Premier League,Manchester City,ENG,MEI,18,2,0,20,0.2,0,0,0,0,0,0,0,0.0,0.0,0.0
Liam Delap,Premier League,Manchester City,ENG,ATA,18,1,0,10,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Kayky Chagas,Premier League,Manchester City,BRA,ATA,18,1,0,7,0.1,0,0,0,0,0,0,0,0.0,0.0,0.0
Alisson,Premier League,Liverpool,BRA,GK,28,36,36,3240,36.0,0,1,0,0,0,0,0,0.0,0.03,0.03
Virgil van Dijk,Premier League,Liverpool,NED,DEF,30,34,34,3060,34.0,3,1,3,0,0,3,0,0.09,0.03,0.12
Trent Alexander-Arnold,Premier League,Liverpool,ENG,DEF,22,32,32,2853,31.7,2,12,2,0,0,2,0,0.06,0.38,0.44
Sadio Mané,Premier League,Liverpool,SEN,ATA,29,34,32,2819,31.3,16,2,16,0,0,5,0,0.51,0.06,0.58
Joël Matip,Premier League,Liverpool,CMR,DEF,29,31,31,2790,31.0,3,3,3,0,0,2,0,0.1,0.1,0.19
Mohamed Salah,Premier League,Liverpool,EGY,ATA,29,35,30,2762,30.7,23,13,18,5,6,1,0,0.75,0.42,1.17
Jordan Henderson,Premier League,Liverpool,ENG,MEI,31,35,29,2597,28.9,2,5,2,0,0,3,0,0.07,0.17,0.24
Andrew Robertson,Premier League,Liverpool,SCO,DEF,27,29,29,2537,28.2,3,10,3,0,0,5,1,0.11,0.35,0.46
Diogo Jota,Premier League,Liverpool,POR,ATA,24,35,27,2364,26.3,15,4,15,0,0,3,0,0.57,0.15,0.72
Fabinho,Premier League,Liverpool,BRA,MEI,27,29,26,2314,25.7,5,1,3,2,2,7,0,0.19,0.04,0.23
Thiago Alcántara,Premier League,Liverpool,ESP,MEI,30,25,17,1534,17.0,1,4,1,0,0,2,0,0.06,0.24,0.29
Naby Keïta,Premier League,Liverpool,GUI,MEI,26,23,14,1173,13.0,3,1,3,0,0,3,0,0.23,0.08,0.31
Ibrahima Konaté,Premier League,Liverpool,FRA,DEF,22,11,11,990,11.0,0,0,0,0,0,2,0,0.0,0.0,0.0
Luis Díaz,Premier League,Liverpool,COL,ATA,24,13,11,958,10.6,4,3,4,0,0,0,0,0.38,0.28,0.66
Roberto Firmino,Premier League,Liverpool,BRA,ATA,29,20,10,990,11.0,5,4,5,0,0,3,0,0.45,0.36,0.82
Curtis Jones,Premier League,Liverpool,ENG,MEI,20,15,10,851,9.5,1,1,1,0,0,0,0,0.11,0.11,0.21
Kostas Tsimikas,Premier League,Liverpool,GRE,DEF,25,13,9,877,9.7,0,2,0,0,0,3,0,0.0,0.21,0.21
